num_messages,summary_len_words
5,74
7,74
6,55
4,63
8,110
4,63
4,70
5,71
5,86
7,77
4,99
4,85
8,92
6,88
5,79
4,104
9,95
6,26
7,84
5,88
5,73
4,82
4,70
8,88
4,90
9,75
5,79
6,124
6,99
7,68
5,84
4,75
5,97
8,64
6,101
6,86
6,103
6,143
4,63
4,35
5,88
6,79
5,74
4,66
4,105
4,90
5,88
6,102
4,49
4,102
6,68
5,55
5,79
4,70
4,71
4,85
4,129
9,114
4,89
5,87
5,89
4,60
5,91
6,99
7,75
4,93
4,42
4,86
6,81
5,74
4,93
10,83
4,106
5,121
4,65
4,79
7,53
4,51
4,81
5,92
4,60
4,103
4,82
4,77
6,89
6,72
10,87
5,53
4,86
4,89
6,72
5,93
5,99
4,106
4,69
5,83
4,87
4,121
4,65
9,88
4,73
4,95
4,88
7,103
6,59
4,83
9,75
4,86
5,79
4,160
7,79
4,80
5,45
4,59
6,60
6,71
4,79
5,105
7,60
8,91
4,164
5,77
4,53
6,91
6,92
10,108
4,106
5,63
4,63
8,50
6,85
4,59
4,78
6,55
5,91
5,78
5,97
4,157
7,79
5,111
5,71
6,43
7,96
5,68
5,76
4,44
4,49
4,40
6,91
4,53
4,110
6,87
10,44
7,81
5,88
4,69
5,81
6,80
6,53
7,74
4,40
4,79
4,134
5,74
4,75
5,164
4,96
8,82
4,106
6,99
5,98
4,81
4,77
10,81
4,161
4,89
4,65
4,83
4,113
4,71
5,77
6,80
6,103
4,86
7,68
5,81
5,55
5,65
4,97
7,96
8,78
5,90
4,34
6,43
4,71
5,92
4,86
5,97
4,81
4,72
8,96
4,62
6,79
5,91
4,55
7,68
4,58
4,68
4,62
7,80
4,81
5,109
5,92
5,79
10,142
4,46
4,86
5,97
7,141
4,96
8,91
6,102
4,73
4,103
8,93
4,84
4,94
4,86
4,83
4,64
6,87
4,76
5,68
4,80
4,81
10,61
4,92
4,76
6,48
4,100
4,105
4,109
4,45
4,97
8,87
4,82
6,73
6,95
5,103
4,82
5,86
4,66
5,95
4,84
4,110
5,96
4,85
4,38
6,59
7,125
4,72
4,67
5,58
7,86
4,62
5,80
6,64
4,110
4,101
4,94
9,66
5,109
4,101
5,72
4,76
8,74
7,76
4,43
9,85
10,83
8,112
5,85
6,97
10,113
7,93
4,93
6,53
5,80
5,80
4,91
4,76
9,84
4,130
5,79
4,75
4,84
6,84
8,71
10,101
4,101
4,93
6,125
6,62
9,102
4,36
4,104
4,58
4,91
4,162
5,97
4,83
8,65
9,77
4,96
9,86
5,90
4,88
5,59
4,56
6,99
6,54
5,97
4,72
4,81
4,80
4,56
5,93
5,77
4,79
4,82
6,80
4,108
4,74
6,93
4,141
8,155
6,99
4,30
4,92
5,78
4,90
4,79
4,67
4,63
5,90
4,67
4,88
5,94
4,50
4,53
6,95
4,96
6,59
4,81
4,82
5,77
4,66
4,80
7,84
4,72
4,93
4,46
4,87
4,51
4,68
4,67
4,65
7,80
4,97
5,86
10,97
10,87
4,59
7,42
4,91
4,96
4,69
6,91
5,77
4,55
4,70
4,76
5,83
5,69
5,45
4,91
9,77
4,79
4,72
4,68
4,102
5,118
4,84
5,128
6,70
5,22
6,82
4,104
5,95
5,69
5,82
6,77
4,97
10,76
7,92
5,80
4,105
6,88
9,98
4,99
5,133
4,79
7,92
7,96
4,77
10,96
5,72
5,85
4,54
5,96
4,74
8,52
4,69
4,64
7,75
5,108
4,77
4,48
4,74
6,91
7,78
5,81
4,79
8,80
4,80
4,58
4,93
4,91
6,38
5,88
4,135
6,53
6,98
9,88
6,58
4,102
7,77
5,79
5,44
4,81
5,69
6,90
4,90
4,76
4,88
4,86
4,17
4,73
4,78
4,82
4,82
4,99
4,104
9,103
4,96
4,101
4,65
4,92
5,58
6,86
8,98
10,151
4,82
5,97
4,101
7,25
8,69
8,94
7,112
9,71
4,102
7,83
8,124
4,91
7,56
8,130
5,80
5,74
10,89
5,62
6,153
4,95
7,99
4,87
7,93
4,109
4,85
4,53
5,86
9,77
10,74
4,44
4,66
5,80
4,66
4,100
5,95
4,54
4,68
6,55
4,74
5,45
4,101
9,61
8,90
4,44
4,76
4,77
9,82
6,88
4,45
7,57
6,76
4,120
8,101
4,93
4,89
4,49
4,103
4,76
4,68
8,65
10,76
4,103
4,51
5,71
5,81
4,82
6,90
6,96
10,135
7,101
4,162
6,70
4,67
7,86
4,59
4,82
4,84
7,63
4,96
5,126
5,61
7,63
4,88
4,47
5,58
10,90
6,108
5,88
10,94
4,58
5,86
4,79
5,69
5,85
5,95
4,82
4,96
6,74
8,116
4,70
4,106
6,123
5,72
4,82
7,88
6,62
4,35
4,69
6,71
6,94
7,107
5,110
4,59
4,82
4,74
4,90
4,69
4,56
4,97
7,63
4,81
7,77
9,132
4,44
6,79
8,85
7,48
4,96
9,59
5,78
7,60
4,88
4,73
6,78
5,92
5,68
5,56
4,90
4,65
4,76
9,58
6,91
4,81
4,81
4,93
4,99
6,94
5,148
9,34
4,87
5,66
4,67
8,94
6,124
4,77
6,64
5,71
4,105
5,84
7,95
4,84
8,76
4,87
5,97
6,118
5,104
4,80
10,118
5,79
4,88
4,75
6,78
4,83
5,86
6,70
6,94
4,55
5,80
8,118
4,81
4,104
9,82
6,93
5,81
4,59
4,108
4,100
10,84
5,94
4,84
6,77
5,150
6,86
4,42
4,85
5,91
6,81
4,63
4,48
4,37
7,59
7,92
5,83
10,90
6,88
4,63
6,97
4,106
4,93
4,61
5,104
4,81
5,113
4,99
7,60
4,83
7,79
6,78
4,81
4,39
6,72
6,76
4,90
5,100
5,85
4,90
4,84
4,78
7,182
6,85
7,110
5,61
5,75
5,51
4,81
4,53
5,69
4,87
6,67
4,83
8,53
7,117
4,104
5,78
4,71
6,79
4,62
8,87
4,46
5,97
5,81
4,96
5,108
5,82
10,66
4,91
5,87
4,69
4,81
9,109
6,62
6,90
4,80
4,105
8,96
4,73
5,55
4,66
4,90
4,29
5,60
6,87
4,75
4,88
6,77
5,100
6,65
4,83
5,91
4,83
5,65
5,86
4,76
4,69
8,90
8,80
4,101
7,100
4,75
4,47
4,92
5,83
6,91
6,94
5,93
4,88
6,88
4,93
10,123
7,124
5,49
4,91
8,83
5,101
4,120
4,91
4,79
4,83
5,167
4,69
5,82
8,94
4,75
6,51
5,71
6,92
6,81
4,99
4,63
6,109
6,95
4,73
5,60
4,72
4,89
4,63
4,123
5,112
7,82
4,65
5,56
4,92
4,56
5,78
4,78
9,118
6,118
5,99
4,77
4,85
6,92
4,117
6,69
4,124
4,93
4,34
4,80
8,87
5,105
4,83
4,85
4,78
6,58
7,116
5,94
4,99
4,82
4,84
4,74
7,95
4,16
4,64
4,56
4,99
4,97
4,78
6,119
4,65
7,75
8,62
5,65
4,77
5,62
7,75
4,91
4,90
5,84
4,57
4,79
5,83
4,63
6,165
4,77
4,88
4,39
9,103
5,95
5,87
5,45
4,78
6,112
5,92
9,72
9,70
4,88
6,104
4,58
7,136
4,79
6,97
4,70
4,91
4,81
8,84
4,67
4,83
4,99
4,72
4,89
5,66
4,119
4,91
4,160
4,81
4,93
5,87
6,88
4,77
4,94
4,69
4,74
8,70
4,30
5,102
5,83
7,95
4,78
8,63
5,63
4,62
4,141
5,85
4,94
4,91
10,77
5,83
4,97
4,71
4,62
7,66
4,83
4,95
5,73
4,52
5,69
5,73
4,44
4,94
4,68
9,85
8,118
8,64
4,92
4,75
6,98
4,71
6,67
5,49
5,102
4,75
9,88
4,89
4,132
6,88
5,166
6,83
6,81
5,106
4,82
5,102
4,85
6,75
4,87
5,79
5,84
4,94
4,66
10,88
4,62
5,72
8,122
7,171
4,84
4,66
5,66
5,70
4,95
4,110
8,95
6,60
4,100
4,91
6,67
10,101
6,99
5,81
5,104
4,75
7,58
4,45
5,83
10,78
4,47
6,99
5,88
7,77
4,95
5,108
4,63
4,43
4,90
5,112
4,55
6,74
4,64
6,70
5,69
6,91
4,61
6,75
4,66
5,86
4,82
5,81
8,172
4,63
4,71
4,60
4,110
4,90
4,74
4,51
5,32
5,62
4,27
4,82
10,75
10,83
5,81
4,63
4,86
5,56
4,92
7,82
4,28
7,56
5,74
5,112
5,102
5,95
4,78
5,64
4,82
7,87
5,91
4,47
5,64
4,87
8,96
8,53
5,63
4,95
4,83
5,53
5,62
4,80
4,60
5,53
7,75
4,53
5,75
4,81
4,74
6,111
7,75
7,74
6,105
5,77
5,52
5,79
5,87
5,82
4,75
4,86
5,77
5,81
4,82
4,86
5,95
8,41
4,62
4,70
6,99
4,172
4,116
4,94
4,84
6,83
7,87
6,95
4,86
4,46
6,64
4,78
5,84
8,71
4,81
5,94
4,108
9,94
4,89
5,84
7,131
4,54
4,79
6,91
6,64
5,97
9,56
5,93
4,82
6,49
4,70
6,80
4,63
10,67
4,84
9,93
5,89
5,94
5,88
7,149
8,85
4,76
8,79
4,87
5,82
7,78
5,82
4,51
5,71
8,90
7,84
4,75
9,79
5,103
4,93
7,92
7,78
4,68
4,52
5,96
4,68
6,90
5,26
4,145
6,77
5,103
4,152
4,68
5,67
5,88
4,154
4,120
7,84
5,88
4,63
4,87
10,117
4,87
7,47
4,98
4,97
6,77
4,88
7,117
4,83
9,74
4,90
5,111
7,91
5,98
4,115
6,96
4,102
4,81
4,94
7,86
4,88
4,101
8,71
5,71
4,77
4,92
5,107
6,50
7,110
4,87
8,102
5,76
4,63
4,77
6,79
4,41
5,62
4,73
4,93
4,84
8,83
4,74
10,92
7,82
8,76
4,84
4,86
4,126
6,79
4,85
5,71
6,84
4,98
5,91
7,152
5,84
4,82
4,83
4,67
6,94
5,131
7,61
5,89
10,81
5,101
8,59
4,82
5,62
7,47
4,133
4,74
7,88
6,95
8,65
4,69
4,101
4,89
4,66
5,84
4,90
4,61
10,83
4,79
4,57
5,81
